record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1428569,155391,Godfrey's Farm,302 Leager Rd,,Sudlersville,Queen Annes,MD,21668,39.183174,-75.836815,Farmers and Markets
1462549,155522,Horizon Corner Store 5260,45 W Baltimore St,,Hagerstown,Washington,MD,21740,39.638298,-77.724487,Convenience Store
1597182,155615,7-Eleven #42119A 42119,14577 Edgewoods Way,,Glenelg,Howard,MD,21737,39.26202,-77.025894,Convenience Store
1330066,155637,Discount Tobacco Zone,3905 Branch Ave,,Temple Hills,Prince Georges,MD,20748,38.835983,-76.945564,Convenience Store
1428667,155641,Express Carryout Groceries,2029 E North Ave,,Baltimore,Baltimore City,MD,21213,39.312115,-76.589546,Convenience Store
1462651,155660,CVS Pharmacy 10606,7955 Bayside Road,,CHESAPEAKE BEACH,Calvert,MD,20732,38.690414,-76.535675,Other
1329858,155703,CVS Pharmacey 10564,7706 Milestone Pkwy,,Hanover,Anne Arundel,MD,21076,39.153519,-76.744339,Other
1330115,155739,Salisbury Exxon Inc. 24,501 W Salisbury Pkwy,,Salisbury,Wicomico,MD,21801,38.366512,-75.605064,Convenience Store
1330123,155743,Beer Cave Inc. 27,8600 Ocean Hwy,Ste D,Delmar,Wicomico,MD,21875,38.428921,-75.564575,Convenience Store
1330130,155745,Autumn Grove Tiger Mart 25,1801 Autumn Grove Ct,,Salisbury,Wicomico,MD,21804,38.366169,-75.541649,Convenience Store
1330132,155749,Tiger Mart 26,2403 N Salisbury Blvd,,Salisbury,Wicomico,MD,21801,38.402462,-75.569283,Convenience Store
1612279,155765,Delicias Market,3702 14th St NW,,Washington,Dist Of Columbia,DC,20010,38.937378,-77.033043,Convenience Store
1577238,155848,Speedy Mart,7501 Harford Rd,,Parkville,Baltimore City,MD,21234,39.370495,-76.545204,Convenience Store
1330994,155894,International Food Market,7004 Reisterstown Rd,,Baltimore,Baltimore City,MD,21215,39.362797,-76.711304,Grocery Store
1331391,155959,Harvest Fare,5708 Wabash Ave,,Baltimore,Baltimore City,MD,21215,39.346359,-76.697823,Super Store
1331481,155985,Deep Creek Shop N Save,24586 Garrett Hwy,,McHenry,Garrett,MD,21541,39.561745,-79.357368,Super Store
1331507,155991,Market 21,4300 Belair Rd,Ste D,Baltimore,Baltimore City,MD,21206,39.328777,-76.565483,Super Store
1331572,155998,Dash In 1531,8078 Ritchie Hwy,,Pasadena,Anne Arundel,MD,21122,39.126724,-76.590477,Convenience Store
1586873,156011,Scotts 2,7050 Port Tobacco Rd,,Welcome,Charles,MD,20693,38.483715,-77.102142,Convenience Store
1355363,156046,7-eleven 11728e,7206 Sheriff Rd,,Hyattsville,Prince Georges,MD,20785,38.9132,-76.881882,Convenience Store
1428926,156270,Harford Mart,7330 Harford Rd,,Parkville,Baltimore City,MD,21234,39.369911,-76.546677,Convenience Store
1429536,156356,ALDI 71183,7858 Quarterfield Rd,,Severn,Anne Arundel,MD,21144,39.142998,-76.650658,Supermarket
1429670,156476,Dollar General 21968,13120 Clear Spring Rd,,Clear Spring,Washington,MD,21722,39.64843,-77.918381,Other
1683874,156558,7-eleven 11631D,200 Back River Neck Rd,,Essex,Baltimore,MD,21221,39.308235,-76.445023,Convenience Store
1429714,156602,Lidl 8030,6881 New Hampshire Ave,,Takoma Park,Prince Georges,MD,20912,38.973278,-76.994164,Super Store
1429717,156604,Lidl 1437,7700 Ritchie Hwy,,Glen Burnie,Anne Arundel,MD,21061,39.152168,-76.615868,Super Store
1380435,156678,Dollar Tree 8304,38 Souder Rd,,Brunswick,Frederick,MD,21716,39.326008,-77.624001,Other
1380620,156742,Gorsuch Grocery,959 Gorsuch Ave,,Baltimore,Baltimore City,MD,21218,39.325508,-76.602745,Convenience Store
